symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-06-15 00:00:00+00:00,97.14,98.41,97.03,97.82,29445227,22.7218218709,23.0188850146,22.6960919923,22.8808793022,117780908,0.0,1.0
AAPL,2016-06-16 00:00:00+00:00,97.55,97.75,96.07,96.45,31326815,22.8177241456,22.8645057431,22.4715403247,22.5604253598,125307260,0.0,1.0
AAPL,2016-06-17 00:00:00+00:00,95.33,96.65,95.3,96.62,61008219,22.2984484142,22.6072069572,22.2914311746,22.6001897176,244032876,0.0,1.0
AAPL,2016-06-20 00:00:00+00:00,95.1,96.57,95.03,96.0,34411901,22.2446495771,22.5884943182,22.228276018,22.4551667656,137647604,0.0,1.0
AAPL,2016-06-21 00:00:00+00:00,95.91,96.35,94.676,94.94,35546358,22.4341150467,22.5370345611,22.1454725906,22.2072242992,142185432,0.0,1.0
AAPL,2016-06-22 00:00:00+00:00,95.55,96.89,95.35,96.25,29219122,22.3499081714,22.6633448741,22.3031265739,22.5136437624,116876488,0.0,1.0
AAPL,2016-06-23 00:00:00+00:00,96.1,96.29,95.25,95.94,32240187,22.4785575643,22.5230000818,22.2797357752,22.4411322863,128960748,0.0,1.0
AAPL,2016-06-24 00:00:00+00:00,93.4,94.655,92.65,92.91,75311356,21.847005999,22.1405605229,21.6715750086,21.7323910853,301245424,0.0,1.0
AAPL,2016-06-27 00:00:00+00:00,92.04,93.05,91.5,93.0,46622188,21.5288911365,21.7651382035,21.4025808234,21.7534428041,186488752,0.0,1.0
AAPL,2016-06-28 00:00:00+00:00,93.59,93.66,92.14,92.9,40444914,21.8914485166,21.9078220757,21.5522819352,21.7300520054,161779656,0.0,1.0
AAPL,2016-06-29 00:00:00+00:00,94.4,94.55,93.63,93.97,36531006,22.0809139861,22.1160001842,21.900804836,21.9803335517,146124024,0.0,1.0
AAPL,2016-06-30 00:00:00+00:00,95.6,95.77,94.3,94.44,35836356,22.3616035707,22.4013679285,22.0575231874,22.0902703056,143345424,0.0,1.0
AAPL,2016-07-01 00:00:00+00:00,95.89,96.465,95.33,95.49,26026540,22.429436887,22.5639339796,22.2984484142,22.3358736921,104106160,0.0,1.0
AAPL,2016-07-05 00:00:00+00:00,94.99,95.4,94.46,95.39,27705210,22.2189196986,22.3148219733,22.0949484654,22.3124828934,110820840,0.0,1.0
AAPL,2016-07-06 00:00:00+00:00,95.53,95.66,94.37,94.6,30949090,22.3452300116,22.3756380499,22.0738967465,22.1276955836,123796360,0.0,1.0
AAPL,2016-07-07 00:00:00+00:00,95.94,96.5,95.62,95.7,25139558,22.4411322863,22.5721207591,22.3662817305,22.3849943694,100558232,0.0,1.0
AAPL,2016-07-08 00:00:00+00:00,96.68,96.89,96.05,96.49,28912103,22.6142241968,22.6633448741,22.4668621649,22.5697816793,115648412,0.0,1.0
AAPL,2016-07-11 00:00:00+00:00,96.98,97.65,96.73,96.75,23794945,22.684396593,22.8411149444,22.6259195962,22.6305977559,95179780,0.0,1.0
AAPL,2016-07-12 00:00:00+00:00,97.42,97.7,97.12,97.17,24167463,22.7873161073,22.8528103437,22.7171437112,22.7288391105,96669852,0.0,1.0
AAPL,2016-07-13 00:00:00+00:00,96.87,97.67,96.84,97.41,25892171,22.6586667144,22.8457931041,22.6516494748,22.7849770274,103568684,0.0,1.0
AAPL,2016-07-14 00:00:00+00:00,98.79,98.99,97.32,97.39,38918997,23.1077700497,23.1545516471,22.7639253086,22.7802988677,155675988,0.0,1.0
